"Date","Price","Open","High","Low","Vol.","Change %"
"10/04/2023","87.80","87.10","87.80","86.10","96.82K","0.69%"
"10/03/2023","87.20","88.00","89.90","87.20","59.18K","-1.80%"
"10/02/2023","88.80","90.00","90.00","87.80","100.35K","-1.55%"
"09/27/2023","90.20","89.00","91.10","88.90","141.20K","1.58%"
"09/26/2023","88.80","88.50","89.00","87.80","135.26K","0.91%"
"09/25/2023","88.00","89.50","90.00","88.00","45.41K","-1.12%"
"09/22/2023","89.00","88.00","90.20","87.60","66.03K","0.11%"
"09/21/2023","88.90","89.90","89.90","87.60","52.48K","-0.11%"
"09/20/2023","89.00","88.50","89.50","88.00","643.82K","1.14%"
"09/19/2023","88.00","90.00","90.00","87.00","197.49K","-2.22%"
"09/18/2023","90.00","92.50","92.50","89.50","183.64K","-1.64%"
"09/15/2023","91.50","93.00","93.00","91.00","130.68K","-0.87%"
"09/14/2023","92.30","91.00","93.00","91.00","73.64K","1.43%"
"09/13/2023","91.00","91.00","92.00","90.10","547.37K","1.00%"
"09/12/2023","90.10","92.00","92.00","90.00","189.70K","-1.96%"
"09/11/2023","91.90","92.80","92.90","90.40","61.36K","-0.97%"
"09/08/2023","92.80","92.10","93.00","92.10","132.26K","0.32%"
"09/07/2023","92.50","93.00","93.00","90.10","135.45K","0.54%"
"09/06/2023","92.00","95.00","95.40","92.00","283.19K","-3.26%"
"09/05/2023","95.10","93.50","96.00","93.30","1.45M","1.93%"
"09/04/2023","93.30","90.00","93.90","89.90","583.70K","3.67%"
"09/01/2023","90.00","86.50","90.00","86.50","277.33K","4.05%"
"08/31/2023","86.50","87.40","87.90","86.50","47.45K","-0.69%"
"08/29/2023","87.10","87.00","87.10","86.40","200.70K","0.11%"
"08/28/2023","87.00","87.30","87.50","86.50","844.34K","1.16%"
"08/25/2023","86.00","89.60","89.60","80.00","294.31K","-3.91%"
"08/24/2023","89.50","93.50","93.50","89.50","423.96K","-4.38%"
"08/23/2023","93.60","90.00","94.00","89.50","1.71M","4.00%"
"08/22/2023","90.00","91.10","91.40","89.30","383.29K","-1.53%"
"08/21/2023","91.40","93.50","95.00","91.40","713.07K","-2.25%"
"08/18/2023","93.50","96.00","96.00","93.10","258.05K","-2.81%"
"08/17/2023","96.20","97.30","97.30","95.00","378.22K","-0.52%"
"08/16/2023","96.70","93.00","97.00","92.50","1.96M","3.98%"
"08/15/2023","93.00","95.00","96.90","92.60","347.08K","-4.12%"
"08/14/2023","97.00","102.00","102.00","95.00","424.24K","-6.28%"
"08/11/2023","103.50","105.50","105.50","102.25","189.38K","-1.19%"
"08/10/2023","104.75","105.00","107.50","104.50","511.69K","0.72%"
"08/09/2023","104.00","105.00","105.00","103.25","459.28K","-1.89%"
"08/08/2023","106.00","103.50","106.75","101.00","1.73M","1.92%"
"08/07/2023","104.00","100.00","105.00","99.00","1.49M","2.97%"
"08/04/2023","101.00","100.00","101.75","100.00","1.63M","2.02%"
"08/03/2023","99.00","96.00","100.75","95.90","2.88M","3.56%"
"08/02/2023","95.60","93.00","97.00","92.10","1.66M","2.25%"
"07/31/2023","93.50","93.00","93.60","92.00","451.75K","0.97%"
"07/28/2023","92.60","92.60","94.20","92.00","806.60K","0.22%"
"07/27/2023","92.40","87.60","93.00","87.60","940.61K","4.17%"
"07/26/2023","88.70","88.70","89.40","88.00","262.16K","0.45%"
"07/25/2023","88.30","88.20","89.70","87.60","1.04M","-0.23%"
"07/24/2023","88.50","87.60","90.60","87.60","973.67K","0.57%"
"07/21/2023","88.00","88.00","89.00","87.50","308.23K","0.00%"
"07/20/2023","88.00","88.00","89.10","87.50","671.28K","-1.68%"
"07/19/2023","89.50","87.00","89.70","85.70","1.30M","2.76%"
"07/18/2023","87.10","85.00","87.50","84.70","1.56M","2.96%"
"07/17/2023","84.60","80.50","86.00","80.40","2.53M","5.09%"
"07/14/2023","80.50","80.00","81.00","79.00","302.12K","1.90%"
"07/13/2023","79.00","81.00","81.00","78.00","874.79K","-1.86%"
"07/12/2023","80.50","77.40","80.90","77.40","1.16M","3.87%"
"07/11/2023","77.50","78.70","78.70","77.50","170.85K","-0.64%"
"07/10/2023","78.00","79.50","79.80","78.00","217.19K","-1.89%"
"07/07/2023","79.50","79.50","80.00","78.10","395.79K","-0.50%"
"07/06/2023","79.90","81.30","81.50","78.00","604.13K","-1.36%"
"07/05/2023","81.00","83.00","83.00","80.10","4.74M","0.12%"
"07/04/2023","80.90","75.50","81.70","75.50","7.95M","19.85%"
"06/28/2023","67.50","67.50","69.50","66.00","616.58K","0.00%"
"06/27/2023","67.50","68.50","69.00","67.10","369.89K","-2.88%"
"06/26/2023","69.50","66.00","69.90","63.10","1.16M","5.30%"
"06/23/2023","66.00","66.00","67.80","66.00","458.08K","-0.15%"
"06/22/2023","66.10","66.40","67.00","66.00","187.84K","-0.30%"
"06/21/2023","66.30","64.90","66.50","64.10","1.30M","2.16%"
"06/20/2023","64.90","64.00","65.00","63.50","112.61K","0.46%"
"06/19/2023","64.60","64.00","65.00","64.00","197.23K","-1.22%"
"06/16/2023","65.40","66.00","67.80","65.00","104.66K","-0.91%"
"06/15/2023","66.00","67.00","67.00","64.00","519.90K","-1.49%"
"06/14/2023","67.00","61.10","67.00","61.00","165.04K","9.84%"
"06/13/2023","61.00","61.80","61.90","60.30","73.48K","-1.29%"
"06/12/2023","61.80","59.10","61.90","59.10","93.11K","6.37%"
"06/09/2023","58.10","58.10","60.30","58.10","95.85K","-0.68%"
"06/08/2023","58.50","57.20","59.00","57.20","13.04K","2.09%"
